model,module_name,group,nonzero,total,sparsity,shape,flops_per_token,param_frac
CSR30,model.decoder.embed_tokens,embedding,38608881,38608896,3.8851149741780944e-07,"(50272, 768)",77217792,0.23575756438875237
CSR30,model.decoder.embed_positions,embedding,1573627,1574400,0.0004909806910569081,"(2050, 768)",3148800,0.009613761278583354
CSR30,model.decoder.final_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.0.self_attn.k_proj,attention_linear,509157,589824,0.1367645263671875,"(768, 768)",1018314,0.0036016432497326905
CSR30,model.decoder.layers.0.self_attn.v_proj,attention_linear,247458,589824,0.5804545084635417,"(768, 768)",494916,0.0036016432497326905
CSR30,model.decoder.layers.0.self_attn.q_proj,attention_linear,511966,589824,0.13200208875868058,"(768, 768)",1023932,0.0036016432497326905
CSR30,model.decoder.layers.0.self_attn.out_proj,attention_linear,205306,589824,0.6519198947482638,"(768, 768)",410612,0.0036016432497326905
CSR30,model.decoder.layers.0.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.0.fc1,mlp_linear,1642215,2359296,0.30393854777018225,"(3072, 768)",3284430,0.014406572998930762
CSR30,model.decoder.layers.0.fc2,mlp_linear,1575006,2359296,0.3324254353841146,"(768, 3072)",3150012,0.014406572998930762
CSR30,model.decoder.layers.0.final_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.1.self_attn.k_proj,attention_linear,496987,589824,0.15739780002170134,"(768, 768)",993974,0.0036016432497326905
CSR30,model.decoder.layers.1.self_attn.v_proj,attention_linear,293286,589824,0.5027567545572917,"(768, 768)",586572,0.0036016432497326905
CSR30,model.decoder.layers.1.self_attn.q_proj,attention_linear,448963,589824,0.23881869845920134,"(768, 768)",897926,0.0036016432497326905
CSR30,model.decoder.layers.1.self_attn.out_proj,attention_linear,235513,589824,0.6007063123914931,"(768, 768)",471026,0.0036016432497326905
CSR30,model.decoder.layers.1.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.1.fc1,mlp_linear,1706346,2359296,0.27675628662109375,"(3072, 768)",3412692,0.014406572998930762
CSR30,model.decoder.layers.1.fc2,mlp_linear,1662273,2359296,0.2954368591308594,"(768, 3072)",3324546,0.014406572998930762
CSR30,model.decoder.layers.1.final_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.2.self_attn.k_proj,attention_linear,487005,589824,0.17432149251302087,"(768, 768)",974010,0.0036016432497326905
CSR30,model.decoder.layers.2.self_attn.v_proj,attention_linear,328695,589824,0.44272359212239587,"(768, 768)",657390,0.0036016432497326905
CSR30,model.decoder.layers.2.self_attn.q_proj,attention_linear,477456,589824,0.19051106770833337,"(768, 768)",954912,0.0036016432497326905
CSR30,model.decoder.layers.2.self_attn.out_proj,attention_linear,273297,589824,0.5366465250651042,"(768, 768)",546594,0.0036016432497326905
CSR30,model.decoder.layers.2.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.2.fc1,mlp_linear,1609804,2359296,0.31767612033420134,"(3072, 768)",3219608,0.014406572998930762
CSR30,model.decoder.layers.2.fc2,mlp_linear,1543925,2359296,0.34559928046332467,"(768, 3072)",3087850,0.014406572998930762
CSR30,model.decoder.layers.2.final_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.3.self_attn.k_proj,attention_linear,470264,589824,0.2027045355902778,"(768, 768)",940528,0.0036016432497326905
CSR30,model.decoder.layers.3.self_attn.v_proj,attention_linear,360501,589824,0.38879903157552087,"(768, 768)",721002,0.0036016432497326905
CSR30,model.decoder.layers.3.self_attn.q_proj,attention_linear,474183,589824,0.1960601806640625,"(768, 768)",948366,0.0036016432497326905
CSR30,model.decoder.layers.3.self_attn.out_proj,attention_linear,325740,589824,0.44773356119791663,"(768, 768)",651480,0.0036016432497326905
CSR30,model.decoder.layers.3.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.379279296178881e-06
CSR30,model.decoder.layers.3.fc1,mlp_linear,1356257,2359296,0.42514334784613717,"(3072, 768)",2712514,0.014406572998930762
CSR30,model.decoder.layers.3.fc2,mlp_linear,1188386,2359296,0.4962963528103299,"(768, 3072)",2376772,0.014406572998930762
