model,module_name,group,nonzero,total,sparsity,shape,flops_per_token,param_frac
Masked30,model.decoder.embed_tokens,embedding,38608881,38608896,3.8851149741780944e-07,"(50272, 768)",77217792,0.23563821808909555
Masked30,model.decoder.embed_positions,embedding,1573627,1574400,0.0004909806910569081,"(2050, 768)",3148800,0.009608894555272236
Masked30,model.decoder.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.0.self_attn.k_proj,attention_linear,509925,590592,0.13658667912873868,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.0.self_attn.v_proj,attention_linear,248226,590592,0.5796996911573472,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.0.self_attn.q_proj,attention_linear,512734,590592,0.1318304345470308,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.0.self_attn.out_proj,attention_linear,206074,590592,0.6510721445600347,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.0.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.0.fc1,mlp_linear,1645287,2362368,0.303543309086476,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.0.fc2,mlp_linear,1575774,2360064,0.33231725919297106,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.0.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.1.self_attn.k_proj,attention_linear,497755,590592,0.15719312147811015,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.1.self_attn.v_proj,attention_linear,294054,590592,0.5021029746423927,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.1.self_attn.q_proj,attention_linear,449731,590592,0.2385081409839619,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.1.self_attn.out_proj,attention_linear,236281,590592,0.5999251598396185,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.1.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.1.fc1,mlp_linear,1709418,2362368,0.27639639548114436,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.1.fc2,mlp_linear,1663041,2360064,0.29534071957370645,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.1.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.2.self_attn.k_proj,attention_linear,487773,590592,0.17409480656697007,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.2.self_attn.v_proj,attention_linear,329463,590592,0.4421478787386216,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.2.self_attn.q_proj,attention_linear,478224,590592,0.19026332899869958,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.2.self_attn.out_proj,attention_linear,274065,590592,0.5359486752275683,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.2.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.2.fc1,mlp_linear,1612876,2362368,0.3172630174469008,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.2.fc2,mlp_linear,1544693,2360064,0.3454868173066493,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.2.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.3.self_attn.k_proj,attention_linear,471032,590592,0.20244094061551798,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.3.self_attn.v_proj,attention_linear,361269,590592,0.3882934411573472,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.3.self_attn.q_proj,attention_linear,474951,590592,0.19580522594278282,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.3.self_attn.out_proj,attention_linear,326508,590592,0.44715133289986997,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.3.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.3.fc1,mlp_linear,1359329,2362368,0.4245904956382748,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.3.fc2,mlp_linear,1189154,2360064,0.49613485058032325,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.3.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.4.self_attn.k_proj,attention_linear,502175,590592,0.1497091054399653,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.4.self_attn.v_proj,attention_linear,356264,590592,0.39676798872995234,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.4.self_attn.q_proj,attention_linear,505970,590592,0.14328334958820976,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.4.self_attn.out_proj,attention_linear,309547,590592,0.4758699745340269,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.4.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.4.fc1,mlp_linear,1656632,2362368,0.2987409243606415,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.4.fc2,mlp_linear,1628747,2360064,0.3098716814459269,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.4.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.5.self_attn.k_proj,attention_linear,504602,590592,0.14559966948417857,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.5.self_attn.v_proj,attention_linear,341162,590592,0.42233894126571303,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.5.self_attn.q_proj,attention_linear,512426,590592,0.13235194516688342,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.5.self_attn.out_proj,attention_linear,316017,590592,0.4649148650845254,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.5.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.5.fc1,mlp_linear,1688803,2362368,0.28512280897811015,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.5.fc2,mlp_linear,1674666,2360064,0.29041500569476086,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.5.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.6.self_attn.k_proj,attention_linear,505180,590592,0.14462099046380583,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.6.self_attn.v_proj,attention_linear,364717,590592,0.38245523136107495,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.6.self_attn.q_proj,attention_linear,508289,590592,0.13935678099263116,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.6.self_attn.out_proj,attention_linear,336741,590592,0.42982465052015606,"(768, 768)",1179648,0.003604507274636268
Masked30,model.decoder.layers.6.self_attn_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.6.fc1,mlp_linear,1682931,2362368,0.28760845050390116,"(3072, 768)",4718592,0.014418029098545072
Masked30,model.decoder.layers.6.fc2,mlp_linear,1655064,2360064,0.29872071265863975,"(768, 3072)",4718592,0.014403967301634919
Masked30,model.decoder.layers.6.final_layer_norm,norm,1536,1536,0.0,,0,9.374531273436328e-06
Masked30,model.decoder.layers.7.self_attn.k_proj,attention_linear,506975,590592,0.14158166720849585,"(768, 768)",1179648,0.003604507274636268
